,_id,user_id,group_id,status,role,createdAt,updatedAt,__v
2251,62d8bffa3e12aa00194a5731,61f49fe6ba55fa001ac2fe0d,62d64d3f091f32001a9d9674,True,MEMBER,2022-07-21 02:54:50.280,2022-07-21 03:42:58.734,0
2252,62d8bff0af65220019b25d8a,61ea6549bd0873001248c34e,62d64d3f091f32001a9d9674,True,MEMBER,2022-07-21 02:54:40.104,2022-07-21 03:44:14.597,0
2253,62d8bf8d3e12aa00194a5730,61eac741bd0873001248c354,62d64d3f091f32001a9d9674,True,MEMBER,2022-07-21 02:53:01.515,2022-07-21 03:44:11.923,0
2254,62d875fb3e12aa00194a572a,624bf33fe1719b001a7c4195,62d64d3f091f32001a9d9674,True,MEMBER,2022-07-20 21:39:07.864,2022-07-21 03:43:04.556,0
2255,62d812b725add8001bb2e888,6166717b69c3c30018d8bdcf,62d64d3f091f32001a9d9674,True,MEMBER,2022-07-20 14:35:35.714,2022-07-21 03:43:40.600,0
2256,62d802be091f32001a9d9767,624bf342e1719b001a7c4196,62d64d3f091f32001a9d9674,True,MEMBER,2022-07-20 13:27:26.185,2022-07-21 03:43:06.014,0
2257,62d80026091f32001a9d9766,61d41ec8bd0873001248be3d,62d64d3f091f32001a9d9674,True,MEMBER,2022-07-20 13:16:22.795,2022-07-21 03:44:17.234,0
2258,62d7f984091f32001a9d9765,618a1bfebd0873001248aba1,62d64d3f091f32001a9d9674,True,MEMBER,2022-07-20 12:48:04.241,2022-07-21 03:43:58.303,0
2259,62d7f085091f32001a9d9744,61dbb386bd0873001248c130,62d64d3f091f32001a9d9674,True,MEMBER,2022-07-20 12:09:41.516,2022-07-21 03:44:08.801,0
2260,62d7ec36091f32001a9d9743,60d465d42d06d70011e450ef,62d64d3f091f32001a9d9674,True,MEMBER,2022-07-20 11:51:18.737,2022-07-20 11:53:29.100,0
2261,62d7ea35091f32001a9d9742,60778809cc612900118359bb,62d64d3f091f32001a9d9674,True,MEMBER,2022-07-20 11:42:45.116,2022-07-20 11:53:30.804,0
2262,62d7e4b447c7490019664eb9,61c053b7bd0873001248b884,62d64d3f091f32001a9d9674,True,MEMBER,2022-07-20 11:19:16.257,2022-07-20 11:53:27.191,0
2263,62d7e303091f32001a9d9741,62bc53c6c32d9f001ae37270,62d64d3f091f32001a9d9674,True,MEMBER,2022-07-20 11:12:03.272,2022-07-20 11:14:11.190,0
2264,62d7e11c091f32001a9d9740,61f658f9ba55fa001ac2ff1f,62d64d3f091f32001a9d9674,True,MEMBER,2022-07-20 11:03:56.792,2022-07-20 11:14:13.321,0
2265,62d7dfe4091f32001a9d973f,62b7b344c32d9f001ae36e56,62d64d3f091f32001a9d9674,True,MEMBER,2022-07-20 10:58:44.081,2022-07-20 11:14:08.471,0
2266,62d7df6f091f32001a9d973e,618bc5bdbd0873001248abc0,62d64d3f091f32001a9d9674,True,MEMBER,2022-07-20 10:56:47.225,2022-07-20 11:14:05.943,0
2267,62d7dde4091f32001a9d973d,6240d45ee1719b001a7c3e20,62d64d3f091f32001a9d9674,True,MEMBER,2022-07-20 10:50:12.291,2022-07-20 10:53:43.929,0
2268,62d7dc6ec90ac800192189d4,615af4371df2550011f23545,62d64d3f091f32001a9d9674,True,MEMBER,2022-07-20 10:43:58.389,2022-07-20 10:44:56.283,0
2269,62d7db15756ff2001998655c,61c06508bd0873001248b88e,62d64d3f091f32001a9d9674,True,MEMBER,2022-07-20 10:38:13.832,2022-07-20 10:45:01.596,0
2270,62d7dabc756ff2001998655b,618f5bb6bd0873001248acbc,62d64d3f091f32001a9d9674,True,MEMBER,2022-07-20 10:36:44.771,2022-07-20 10:45:09.336,0
2271,62d7daa5091f32001a9d9739,61c1492fbd0873001248b8a0,62d64d3f091f32001a9d9674,True,MEMBER,2022-07-20 10:36:21.030,2022-07-20 10:45:03.690,0
2272,62d7d92a7521d900196d78cc,618a73c5bd0873001248abaa,62d64d3f091f32001a9d9674,True,MEMBER,2022-07-20 10:30:02.793,2022-07-20 10:31:38.550,0
2273,62d7d90f02fe22001a77ef7e,62b67bb4c32d9f001ae36cb4,62d64d3f091f32001a9d9674,True,MEMBER,2022-07-20 10:29:35.609,2022-07-20 10:31:31.751,0
